instance,formulation,is_optimal,obj_val,lp_relaxation,node_count,solve_time
instance_01.json,1a_Natural,True,17.0,16.320000000000004,1.0,22.263803958892822
instance_01.json,1b_Clique,True,17.0,16.319999999999997,1.0,205.09412622451782
instance_02.json,1a_Natural,True,17.0,16.07999999999998,1.0,15.545416116714478
instance_02.json,1b_Clique,True,17.0,16.079999999999995,1.0,347.3239209651947
instance_03.json,1a_Natural,True,17.0,16.279999999999994,1.0,32.54446792602539
instance_03.json,1b_Clique,True,17.0,16.279999999999973,1.0,355.03352189064026
instance_04.json,1a_Natural,True,17.0,16.76000000000002,9995.0,75.70555901527405
instance_04.json,1b_Clique,True,17.0,16.76000000000003,1.0,556.9478731155396
instance_05.json,1a_Natural,True,17.0,16.599999999999998,2962.0,64.76255702972412
instance_05.json,1b_Clique,False,81.0,16.60000000000002,1.0,600.08860206604
instance_06.json,1a_Natural,True,18.0,17.760000000000055,3434.0,51.99110198020935
instance_06.json,1b_Clique,False,18.0,17.759999999999977,216.0,600.1415328979492
instance_07.json,1a_Natural,True,17.0,16.879999999999978,20031.0,97.49132108688354
instance_07.json,1b_Clique,False,18.0,16.880000000000013,2347.0,600.0777461528778
instance_08.json,1a_Natural,True,17.0,16.83999999999996,37245.0,214.18825793266296
instance_08.json,1b_Clique,False,18.0,16.840000000000018,1.0,600.0639069080353
instance_09.json,1a_Natural,False,19.0,17.999999999999986,153156.0,600.030130147934
instance_09.json,1b_Clique,False,20.0,17.99999999999995,1.0,600.1196920871735
